Date,price,short_ma,long_ma,position,signal,executed_position,market_return,strategy_return_gross,trade_occurred,transaction_cost,strategy_return_net,strategy_equity,buy_hold_equity
2019-05-17,256.8329772949219,257.180237121582,247.45102233886718,1,0.0,1.0,-0.0064653689100588885,-0.0064653689100588885,0.0,0.0,-0.0064653689100588885,1.1411019543156031,1.3937009653924823
2019-05-20,255.134765625,257.37240447998045,247.4833599090576,1,0.0,1.0,-0.006612124688224141,-0.006612124688224141,0.0,0.0,-0.006612124688224141,1.133556845911692,1.384485640831209
2019-05-21,257.4350891113281,257.5393710327148,247.52042587280275,1,0.0,1.0,0.009016111468356902,0.009016111468356902,0.0,0.0,0.009016111468356902,1.1437771207901508,1.3969683176952827
2019-05-22,256.644287109375,257.67173461914064,247.54818092346193,1,0.0,1.0,-0.0030718500911549596,-0.0030718500911549596,0.0,0.0,-0.0030718500911549596,1.1402636089373905,1.3926770404412299
2019-05-23,253.5084686279297,257.7082830810547,247.55565307617186,1,0.0,1.0,-0.012218539975171638,-0.012218539975171638,0.0,0.0,-0.012218539975171638,1.1263312524493556,1.3756605603500949
2019-05-24,254.0835418701172,257.75955291748045,247.56183906555177,1,0.0,1.0,0.0022684577178031518,0.0022684577178031518,0.0,0.0,0.0022684577178031518,1.1288862872717773,1.3787811881652985
2019-05-28,251.72036743164062,257.7387069702148,247.55674140930176,1,0.0,1.0,-0.00930077729979284,-0.00930077729979284,0.0,0.0,-0.00930077729979284,1.1183867673170726,1.3659574513890294
2019-05-29,250.03115844726562,257.6657470703125,247.54492347717286,1,0.0,1.0,-0.006710656756186983,-0.006710656756186983,0.0,0.0,-0.006710656756186983,1.1108816576009461,1.3567909797892017
2019-05-30,250.7140655517578,257.60518737792967,247.5449755859375,1,0.0,1.0,0.002731288007195465,0.002731288007195465,0.0,0.0,0.002731288007195465,1.113915795349765,1.360496766720571
2019-05-31,247.33567810058594,257.4923345947266,247.5328282928467,1,0.0,1.0,-0.013475061495799578,-0.013475061495799578,0.0,0.0,-0.013475061495799578,1.0989057115062844,1.3421639891241748
2019-06-03,246.70669555664062,257.3097549438477,247.50956756591796,1,0.0,1.0,-0.0025430319991663897,-0.0025430319991663897,0.0,0.0,-0.0025430319991663897,1.0961111591178572,1.3387508231517031
2019-06-04,252.06185913085938,257.33275726318357,247.52246772766114,1,0.0,1.0,0.02170660006667413,0.02170660006667413,0.0,0.0,0.02170660006667413,1.1199040056774472,1.367810551858788
2019-06-05,254.24520874023438,257.403200378418,247.53619110107422,1,0.0,1.0,0.008661959476548686,0.008661959476548686,0.0,0.0,0.008661959476548686,1.1296045687922498,1.3796584714305844
2019-06-06,255.89852905273438,257.4693307495117,247.55375427246094,1,0.0,1.0,0.006502857303357201,0.006502857303357201,0.0,0.0,0.006502857303357201,1.136950226112326,1.3886301935976655
